S no,Date,Region,Cumulative  tests performed,Cumulative  Test positive,Tests  performed in last 24 hours,Still admitted,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Expired status
365,43972,Balochistan,19345,2968,907,35,636,38,2259,13,Dangerour
366,43972,GB,6928,579,292,22,402,4,151,107,Normal
367,43972,ICT,30364,1235,2939,35,151,10,1039,1331,Alert
368,43972,KP,44973,6815,3148,535,2130,351,3799,1502,Dangerour
369,43972,Punjab,185979,17382,11674,8718,5112,297,3255,6990,Dangerour
370,43972,Sindh,137540,18964,9967,1487,5645,316,11516,6164,Dangerour
371,43973,AJK,4659,158,417,78,79,1,0,189,Normal
372,43973,Balochistan,19888,3074,885,58,724,39,2253,304,Dangerour
373,43973,GB,7099,602,368,25,412,4,161,132,Normal
374,43973,ICT,32126,1326,3093,34,151,12,1129,1762,Alert
375,43973,KP,46762,7155,3433,420,2198,365,4172,1426,Dangerour
376,43973,Punjab,191910,18455,11370,9418,5312,310,3415,3132,Dangerour
377,43973,Sindh,143543,19924,12167,1528,6325,336,11735,6003,Dangerour
378,43974,AJK,4868,171,398,76,94,1,0,209,Normal
379,43974,Balochistan,20383,3198,1038,58,762,39,2339,282,Dangerour
380,43974,GB,7338,607,410,26,427,4,150,230,Normal
381,43974,ICT,32964,1457,2600,33,152,12,1260,838,Alert
382,43974,KP,48348,7391,3375,465,2297,381,4248,1230,Dangerour
383,43974,Punjab,197225,18730,11246,2126,5906,324,10374,3802,Dangerour
384,43974,Sindh,149566,20883,12026,1633,7015,340,11895,6023,Dangerour
385,43975,AJK,5103,197,444,99,97,1,0,235,Normal
386,43975,Balochistan,20987,3306,1099,61,860,39,2346,18,Dangerour
387,43975,GB,7443,619,344,24,430,4,161,240,Normal
388,43975,ICT,33936,1592,1810,30,152,14,1396,972,Alert
389,43975,KP,49780,7685,3018,403,2396,389,4497,1152,Dangerour
390,43975,Punjab,202456,19557,10546,1960,6050,332,11215,5404,Dangerour
391,43975,Sindh,153902,21645,10359,1654,7213,354,12424,4336,Dangerour
392,43976,AJK,5225,209,357,108,99,2,0,122,Normal
393,43976,Balochistan,21401,3407,1018,77,875,40,2415,0,Dangerour
394,43976,GB,7574,619,236,24,437,7,151,47,Normal
395,43976,ICT,34379,1641,1415,31,152,16,1442,443,Alert
396,43976,KP,51587,7905,3239,401,2469,398,4637,1045,Dangerour
397,43976,Punjab,206041,20077,8816,2053,6091,337,11596,3171,Dangerour
398,43976,Sindh,157449,22491,7883,1671,7359,367,13094,3547,Dangerour
399,43977,AJK,5341,211,238,110,99,2,0,116,Normal
400,43977,Balochistan,21597,3468,610,77,993,41,2357,354,Dangerour
401,43977,GB,7652,630,209,24,444,8,154,259,Normal
402,43977,ICT,34964,1728,1028,32,152,17,1527,585,Alert
403,43977,KP,52783,8080,3003,400,2529,408,4743,549,Dangerour
404,43977,Punjab,209270,20654,6814,2137,6124,352,12041,2360,Dangerour
405,43977,Sindh,159301,22934,5399,1649,7973,369,12943,1852,Dangerour
406,43978,AJK,5379,214,154,111,99,4,0,38,Normal
407,43978,Balochistan,21866,3536,465,109,1156,42,2229,222,Dangerour
408,43978,GB,7761,638,187,24,457,9,148,89,Normal
409,43978,ICT,35551,1879,1172,31,152,18,1678,587,Alert
410,43978,KP,53917,8259,2330,403,2578,416,4862,602,Dangerour
411,43978,Punjab,213297,21118,7256,2177,6185,362,12394,2439,Dangerour
